n, base, pi_base, p1, pi_1, p2, pi_2
10, 0.0000000800, 3.3045183262, 0.0004648133, 3.3045183262, 0.0000070889, 3.2000000000
100, 0.0000009296, 3.1604170318, 0.0000054492, 3.1604170318, 0.0000073586, 3.3200000000
1000, 0.0000095280, 3.1435554669, 0.0000063588, 3.1435554669, 0.0000094285, 3.1680000000
10000, 0.0000965922, 3.1417914776, 0.0000168471, 3.1417914776, 0.0000385128, 3.1268000000
100000, 0.0009581014, 3.1416126164, 0.0001178282, 3.1416126164, 0.0003453556, 3.1409600000
1000000, 0.0095121366, 3.1415946524, 0.0011284696, 3.1415946524, 0.0032208194, 3.1406760000
10000000, 0.0767969604, 3.1415928536, 0.0091960951, 3.1415928536, 0.0244375336, 3.1413772000
100000000, 0.4258775207, 3.1415926736, 0.0827083782, 3.1415926736, 0.1449992532, 3.1416688800
1000000000, 4.2679673548, 3.1415926556, 0.5397668951, 3.1415926556, 1.4493074621, 3.1415716280
